Cam,Cam_Session,SessionNumber,Session,BeforeAfterFire,DateDeployed,DateCollected,DateLureRreplaced,SurveyLength,MedMarDet,MedMarNotDet,SmMamDet,SmMamNotDet,RooDet,RooNotDet,BandDet,BandNotDet,EchDet,EchNotDet,EchLR,SWDet,SWNotDet,CatDet,CatNotDet,FoxDet,FoxNotDet,NumberOfWildfires100Yrs,NumberOfPrescribedBurns,NumberOfFires100Yrs,YrsSincePreviousFire,HabitatType,DistanceNearestTown,DistanceNearestRoad,DistanceNearestFarm,Elevation,LocalPlacement,LandscapePlacement,TPI100,TPI1000,BurnTreatment,BurnSession,DistanceBurnEdge,FireSeverity,NDVI100,PercentAreaBurnt,PreyActivityLargeMammal,PreyActivityMediumBird,PreyActivityMediumMammal,PreyActivitySmallBird,PreyActivitySmallMammal,RainfallPreviousYear,AvgNightsSinceBaited
Site_cam_24,Site_cam_24_s1,1,s1,Before,28/09/2018,10/12/2018,28/09/2018,73,0,73,0,73,1,72,0,73,1,72,1,20,53,0,73,5,68,1,2,3,9,Heathy Woodland,2888,145,1008,69,Bush,Slope,-0.2,-2.4,Unburnt,Unburnt_s1,0,Unburnt,0.71,0,32.88,0,0,0,0,614.02,37
Site_cam_25,Site_cam_25_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,0,72,0,72,0,72,0,72,1,71,1,21,51,0,72,0,72,3,1,4,9,Heathy Woodland,5321,75,2574,248,Bush,Ridgeline,-0.1,28.4,Unburnt,Unburnt_s1,0,Unburnt,0.73,0,38.89,2.78,0,0,0,780.68,38
Site_cam_26,Site_cam_26_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,1,68,0,69,0,69,0,69,5,64,1,19,50,1,68,1,68,3,1,4,9,Heathy Woodland,4996,521,2615,222,Bush,Ridgeline,1.5,14.4,Unburnt,Unburnt_s1,0,Unburnt,0.66,0,42.03,7.25,1.45,4.35,0,764.06,36
Site_cam_27,Site_cam_27_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,0,69,0,69,0,69,0,69,1,68,1,50,19,2,67,4,65,3,1,4,9,Swampy Riparian Woodland,4541,550,2676,137,Bush,Gully,-8.7,-48.2,Unburnt,Unburnt_s1,0,Unburnt,0.73,0,118.84,2.9,0,14.49,0,677.05,36
Site_cam_28,Site_cam_28_s1,1,s1,Before,29/09/2018,11/12/2018,29/09/2018,73,1,72,3,70,0,73,0,73,2,71,1,31,42,1,72,0,73,3,1,4,9,Heathy Woodland,4150,391,2782,179,Bush,Ridgeline,1.8,26,Unburnt,Unburnt_s1,0,Unburnt,0.63,0,52.05,1.37,1.37,0,4.11,660.79,38
Site_cam_29,Site_cam_29_s1,1,s1,Before,29/09/2018,11/12/2018,29/09/2018,73,1,72,11,62,2,71,0,73,2,71,1,38,35,3,70,1,72,2,1,3,9,Swampy Riparian Woodland,3553,56,2665,56,Bush,Gully,-3.9,-59.8,Unburnt,Unburnt_s1,0,Unburnt,0.76,0,89.04,1.37,1.37,9.59,15.07,634.01,38
Site_cam_30,Site_cam_30_s1,1,s1,Before,29/09/2018,11/12/2018,29/09/2018,73,2,71,0,73,0,73,1,72,1,72,1,28,45,0,73,3,70,1,1,2,9,Heathy Woodland,3261,307,1951,125,Bush,Ridgeline,4.1,35.1,Unburnt,Unburnt_s1,0,Unburnt,0.63,0,49.32,1.37,2.74,0,0,653.7,38
Site_cam_31,Site_cam_31_s1,1,s1,Before,29/09/2018,11/12/2018,29/09/2018,73,0,73,0,73,6,67,0,73,2,71,1,33,40,0,73,3,70,1,1,2,9,Heathy Woodland,3028,244,1193,70,Bush,Slope,2,-9.7,Unburnt,Unburnt_s1,0,Unburnt,0.68,0,61.64,2.74,0,0,0,624.65,38
Site_cam_32,Site_cam_32_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,0,69,0,69,1,68,0,69,0,69,0,22,47,1,68,1,68,3,1,4,12,Lowland Forest,4200,115,1797,234,Bush,Ridgeline,-0.2,27,Unburnt,Unburnt_s1,0,Unburnt,0.74,0,37.68,4.35,0,0,0,739.22,36
Site_cam_33,Site_cam_33_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,0,69,0,69,4,65,0,69,3,66,1,32,37,0,69,0,69,3,1,4,9,Heathy Woodland,3891,87,1824,228,Trail,Slope,1,41.2,Unburnt,Unburnt_s1,0,Unburnt,0.66,0,84.06,14.49,0,0,0,730.01,36
